Business Type,,Reseller Name,,City,State Name,,,,Head Office,Country,,Region
Specialty Bike Shop,   The Bicycle Accessories Company    ,The Bicycle Accessories Company,ALHAMBRA,Alhambra,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,    Timely Shipping Service    ,Timely Shipping Service,ALPINE,Alpine,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller, Good Toys    ,Good Toys,AUBURN,Auburn,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,      Basic Sports Equipment    ,Basic Sports Equipment,BALDWIN PARK,Baldwin Park,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,     Distinctive Store    ,Distinctive Store,BARSTOW,Barstow,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,   Economy Bikes Company    ,Economy Bikes Company,BELL GARDENS,Bell Gardens,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,  Aerobic Exercise Company    ,Aerobic Exercise Company,CAMARILLO,Camarillo,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,   Pro Sporting Goods    ,Pro Sporting Goods,CAMARILLO,Camarillo,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,     Big-Time Bike Store    ,Big-Time Bike Store,CAMARILLO,Camarillo,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop, Vale Riding Supplies    ,Vale Riding Supplies,CANOGA PARK,Canoga Park,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,        Farthermost Bike Shop    ,Farthermost Bike Shop,CARSON,Carson,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,      Trailblazing Sports    ,Trailblazing Sports,CERRITOS,Cerritos,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,  Valley Bicycle Distributors    ,Valley Bicycle Distributors,CITRUS HEIGHTS,Citrus Heights,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,     Extended Bike Sales    ,Extended Bike Sales,CITY OF COMMERCE,City Of Commerce,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,  Resale Services    ,Resale Services,CULVER CITY,Culver City,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,        Futuristic Bikes    ,Futuristic Bikes,CULVER CITY,Culver City,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,          Discount Tours    ,Discount Tours,DALY CITY,Daly City,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,"    Unicycles, Bicycles, and Tricycles    ","Unicycles, Bicycles, and Tricycles",DOWNEY,Downey,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,   Metropolitan Manufacturing    ,Metropolitan Manufacturing,EL CAJON,El Cajon,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,    Coalition Bike Company    ,Coalition Bike Company,EL SEGUNDO,El Segundo,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller, Eighth Bike Store    ,Eighth Bike Store,EL SEGUNDO,El Segundo,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,      Small Bike Shop    ,Small Bike Shop,EL SEGUNDO,El Segundo,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,     Alpine Ski House    ,Alpine Ski House,ELK GROVE,Elk Grove,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,   Number 1 Supply    ,Number 1 Supply,ESCONDIDO,Escondido,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
